"Timestamp","Gender","Age( in years)","District","What is the highest level of education completed by you?","Occupation","Average monthly income (in Sri Lankan Rupees)","How did you get to know about the Banking Mobile App?","How long have you used the Banking Mobile App?","How often do you make a transaction?","What type of transactions do you currently make using the banking mobile app?","Which factor motivated you to use the banking mobile app?","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using banking mobile app is comfortable.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am happy with the user interface of the  banking mobile app.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using the  banking mobile app is secure.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am satisfied with the level of data and information security level offered by the bank.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [When considering the overall service, I am satisfied with using the banking mobile app.]","Would you recommend using Banking Mobile App for you friend?"
"2020/11/22 6:48:36 PM GMT+5:30","Male","19 to 30","badulla","Graduate","Private Sector Employee","Above 150000","Friends or Family","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement","Reduced time of transaction;Safe service","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat disagree","Neither agree Nor disagree","Maybe"
"2020/11/22 7:46:23 PM GMT+5:30","Male","19 to 30","Gampaha","Post Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Yes"
"2020/11/22 7:55:53 PM GMT+5:30","Male","19 to 30","Kandy","Graduate","Private Sector Employee","Above 150000","Bank directly","Less than 1 year","Occasionally (less than once a month)","Bill payment","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 9:02:23 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 90001 to 120000","Bank directly","Less than 1 year","Occasionally (less than once a month)","Balance inquiry / Bank statement","Ease of use","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Maybe"
"2020/11/22 9:35:25 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Savings","Ease of use","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/22 10:33:08 PM GMT+5:30","Male","19 to 30","Gampaha","Post Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/23 2:08:37 AM GMT+5:30","Female","19 to 30","Kurunegala","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Daily –Several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/23 7:58:14 AM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 120001 to 150000","Bank directly","Less than 1 year","Weekly-Once","Money transfer;Bill payment","Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/23 8:51:44 AM GMT+5:30","Female","19 to 30","Gampaha","Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/23 1:56:29 PM GMT+5:30","Female","31 to 40","Mathara","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Yes"
"2020/11/23 5:34:25 PM GMT+5:30","Male","31 to 40","Kandy","Graduate","Government Employee","Between 90001 to 120000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Yes"
"2020/11/24 9:02:16 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Less than 1 year","Monthly-several times","Balance inquiry / Bank statement;Bill payment","Ease of use","Strongly agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat agree","Yes"
"2020/11/25 1:54:02 PM GMT+5:30","Female","19 to 30","Kegalle","Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 3 to 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Yes"
"2020/11/26 10:27:25 AM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings","Ease of use;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Strongly agree","Yes"
"2020/11/27 6:55:49 PM GMT+5:30","Female","19 to 30","Rathnapura","Graduate","Private Sector Employee","Between 30001 to 60000","Bank directly","Between 1 to 3 years","Occasionally (less than once a month)","Balance inquiry / Bank statement","Cost effectiveness","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Neither agree Nor disagree","Somewhat agree","Maybe"
"2020/11/28 12:41:07 PM GMT+5:30","Female","19 to 30","Puttalam","Advance Level","Government Employee","Between 30001 to 60000","Bank directly","More than 5 years","Daily –Several times","Money transfer;Balance inquiry / Bank statement;Bill payment","Ease of use;Safe service","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/28 4:09:53 PM GMT+5:30","Male","19 to 30","Nuwara eliya","Graduate","Government Employee","Between 90001 to 120000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Yes"
"2020/11/28 4:11:25 PM GMT+5:30","Male","41 to 50","Gampaha","Advance Level","Private Sector Employee","Between 90001 to 120000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/28 9:25:55 PM GMT+5:30","Male","51 to 60","Colombo","Post Graduate","Self- Employed","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Daily-once","Money transfer;Balance inquiry / Bank statement","Ease of use","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/28 9:27:10 PM GMT+5:30","Male","31 to 40","Kurunegala","Graduate","Private Sector Employee","Between 120001 to 150000","Friends or Family","Between 3 to 5 years","Weekly-Once","Money transfer;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction","Somewhat disagree","Neither agree Nor disagree","Somewhat disagree","Somewhat disagree","Neither agree Nor disagree","Yes"
"2020/11/28 9:28:13 PM GMT+5:30","Male","19 to 30","Gampaha","Advance Level","Unemployed","Below 30000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Bill payment","Ease of use;Safe service","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/28 9:29:09 PM GMT+5:30","Female","Less than 18","Kandy","Ordinary Level","Unemployed","Below 30000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Bill payment","Safe service","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/28 9:30:10 PM GMT+5:30","Female","Above 60","Kurunegala","Diploma","Government Employee","Between 30001 to 60000","Bank directly","Less than 1 year","Occasionally (less than once a month)","Balance inquiry / Bank statement;Bill payment","Ease of use","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/29 6:42:05 AM GMT+5:30","Male","41 to 50","Kaluthara","Diploma","Government Employee","Between 120001 to 150000","Bank directly","Between 3 to 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Yes"
"2020/11/29 7:03:35 AM GMT+5:30","Male","31 to 40","Gampaha","Diploma","Private Sector Employee","Between 120001 to 150000","Friends or Family","Between 3 to 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 7:04:49 AM GMT+5:30","Male","31 to 40","Gampaha","Diploma","Government Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/29 7:07:51 AM GMT+5:30","Female","41 to 50","Gampaha","Graduate","Private Sector Employee","Above 150000","An Agent","Between 3 to 5 years","Weekly-Once","Balance inquiry / Bank statement","To Experience new technology","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Yes"
"2020/11/29 7:08:30 AM GMT+5:30","Male","31 to 40","Anuradapura","Graduate","Government Employee","Between 120001 to 150000","By a commercial advertisement.","Less than 1 year","Daily –Several times","Money transfer","Cost effectiveness","Strongly disagree","Neither agree Nor disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No"
"2020/11/29 7:10:42 AM GMT+5:30","Female","41 to 50","Colombo","Diploma","Private Sector Employee","Between 90001 to 120000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 7:11:58 AM GMT+5:30","Male","19 to 30","Kurunegala","Graduate","Private Sector Employee","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/29 7:15:17 AM GMT+5:30","Male","19 to 30","Kegalle","Graduate","Self- Employed","Above 150000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 7:17:11 AM GMT+5:30","Male","19 to 30","Kurunegala","Graduate","Government Employee","Between 60001 to 90000","Bank directly","Less than 1 year","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Neither agree Nor disagree","Neither agree Nor disagree","Somewhat agree","Yes"
"2020/11/29 7:18:39 AM GMT+5:30","Male","19 to 30","Puttalam","Graduate","Government Employee","Between 60001 to 90000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Yes"
"2020/11/29 7:20:31 AM GMT+5:30","Male","31 to 40","badulla","Graduate","Private Sector Employee","Between 90001 to 120000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Yes"
"2020/11/29 7:22:06 AM GMT+5:30","Male","31 to 40","Gampaha","Diploma","Private Sector Employee","Between 60001 to 90000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Maybe"
"2020/11/29 7:23:58 AM GMT+5:30","Male","19 to 30","Kurunegala","Advance Level","Private Sector Employee","Between 30001 to 60000","Bank directly","Less than 1 year","Monthly-several times","Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Maybe"
"2020/11/29 12:28:08 PM GMT+5:30","Male","19 to 30","Puttalam","Graduate","Government Employee","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Maybe"
"2020/11/29 12:31:31 PM GMT+5:30","Female","41 to 50","Kurunegala","Advance Level","Private Sector Employee","Between 60001 to 90000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Maybe"
"2020/11/29 12:33:13 PM GMT+5:30","Female","51 to 60","Colombo","Advance Level","Private Sector Employee","Between 90001 to 120000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/29 12:38:59 PM GMT+5:30","Female","41 to 50","Gampaha","Advance Level","Private Sector Employee","Between 90001 to 120000","Friends or Family","Less than 1 year","Monthly-once","Bill payment;Purchasing","Ease of use;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 12:39:57 PM GMT+5:30","Female","51 to 60","Colombo","Advance Level","Government Employee","Between 120001 to 150000","Friends or Family","Between 1 to 3 years","Monthly-several times","Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Maybe"
"2020/11/29 12:40:56 PM GMT+5:30","Male","31 to 40","Gampaha","Diploma","Private Sector Employee","Between 120001 to 150000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/29 12:49:19 PM GMT+5:30","Male","41 to 50","Kaluthara","Graduate","Government Employee","Between 60001 to 90000","Friends or Family","Between 1 to 3 years","Monthly-several times","Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Providing anytime anywhere bill payment or money transferring facility","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/29 1:24:38 PM GMT+5:30","Male","41 to 50","Kandy","Advance Level","Self- Employed","Between 60001 to 90000","Friends or Family","Less than 1 year","Weekly-several times","Money transfer;Bill payment;Purchasing","Ease of use;Providing anytime anywhere bill payment or money transferring facility","Somewhat disagree","Somewhat disagree","Neither agree Nor disagree","Somewhat disagree","Neither agree Nor disagree","Yes"
"2020/11/29 1:25:22 PM GMT+5:30","Male","51 to 60","Gampaha","Advance Level","Self- Employed","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Weekly-Once","Money transfer","Reduced time of transaction","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Maybe"
"2020/11/29 1:26:14 PM GMT+5:30","Female","31 to 40","Mathale","Graduate","Government Employee","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Occasionally (less than once a month)","Bill payment","Reduced time of transaction","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/29 1:26:58 PM GMT+5:30","Male","41 to 50","Mathale","Post Graduate","Government Employee","Between 90001 to 120000","Bank directly","Between 1 to 3 years","Occasionally (less than once a month)","Money transfer;Balance inquiry / Bank statement;Bill payment","Ease of use;Reduced time of transaction","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/29 1:27:38 PM GMT+5:30","Female","31 to 40","Mathale","Graduate","Self- Employed","Between 60001 to 90000","Bank directly","Less than 1 year","Occasionally (less than once a month)","Bill payment;Purchasing","Ease of use;Reduced time of transaction;Safe service","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Yes"
"2020/11/29 1:28:27 PM GMT+5:30","Female","41 to 50","Kaluthara","Advance Level","Self- Employed","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Bill payment;Savings;Purchasing","Ease of use;Safe service","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 1:29:21 PM GMT+5:30","Male","41 to 50","Colombo","Advance Level","Self- Employed","Above 150000","Bank directly","Between 3 to 5 years","Daily –Several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Safe service","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/29 1:42:57 PM GMT+5:30","Male","51 to 60","Mathale","Ordinary Level","Self- Employed","Between 90001 to 120000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Money transfer;Bill payment;Purchasing","Ease of use","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Yes"
"2020/11/29 1:43:39 PM GMT+5:30","Female","19 to 30","Polonnaruwa","Ordinary Level","Unemployed","Below 30000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Bill payment","Safe service","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Maybe"
"2020/11/29 2:14:40 PM GMT+5:30","Female","19 to 30","Kurunegala","Graduate","Private Sector Employee","Between 90001 to 120000","Friends or Family","Between 1 to 3 years","Weekly-Once","Money transfer","Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/29 2:18:28 PM GMT+5:30","Male","19 to 30","Kegalle","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Savings","Ease of use;Cost effectiveness;Reduced time of transaction;Safe service;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 2:22:42 PM GMT+5:30","Male","19 to 30","Gampaha","Graduate","Private Sector Employee","Between 30001 to 60000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree Nor disagree","Yes"
"2020/11/29 2:23:40 PM GMT+5:30","Female","19 to 30","Mathara","Graduate","Private Sector Employee","Between 30001 to 60000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/29 2:27:49 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Less than 1 year","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/29 2:59:44 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Occasionally (less than once a month)","Balance inquiry / Bank statement;Bill payment;Purchasing","Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree Nor disagree","Somewhat agree","Yes"
"2020/11/29 3:01:21 PM GMT+5:30","Male","31 to 40","Gampaha","Graduate","Private Sector Employee","Between 30001 to 60000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment","Ease of use;Providing anytime anywhere bill payment or money transferring facility","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"